SAMPLE	PLATE	COLUMN	ROW	GROUP	CODE	ANCESTRY	SEX	FAMILY_ID	RELATIONSHIP	FLOWCELLS	OUTPUT	READ_N50	NOTES	HAS_SR	base_sample_id	T2T_cram	T2T_crai	T2T_mean_cov	T2T_median_cov	T2T_xy_ratio	T2T_avg_read_identity	T2T_median_read_identity	T2T_N50	T2T_readmass	base_sample_id	GRCh38_cram	GRCh38_crai	GRCh38_mean_cov	GRCh38_median_cov	GRCh38_xy_ratio	GRCh38_avg_read_identity	GRCh38_median_read_identity	GRCh38_N50	GRCh38_readmass
NA19012	P10	7	B	JPT	JPT	Japanese in Tokyo, Japan [JPT]	Male		proband	PAK11471	28,2	14.277		X	NA19012	/groups/bi-marvl/samples/alignments/T2T/NA19012/alignments/NA19012.cram	/groups/bi-marvl/samples/alignments/T2T/NA19012/alignments/NA19012.cram.crai	8.69	9	1	94.5	97	13915	28569464130	NA19012	/groups/bi-marvl/samples/alignments/GRCh38/NA19012/alignments/NA19012.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19012/alignments/NA19012.cram.crai	8.76	8	1	93.9	96.8	13847	28690731806
NA19017	P10	7	C	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAK26952	47,1	18.594		X	NA19017	/groups/bi-marvl/samples/alignments/T2T/NA19017/alignments/NA19017.cram	/groups/bi-marvl/samples/alignments/T2T/NA19017/alignments/NA19017.cram.crai	14.52	14	41	93.4	96.6	18002	48381414234	NA19017	/groups/bi-marvl/samples/alignments/GRCh38/NA19017/alignments/NA19017.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19017/alignments/NA19017.cram.crai	14.7	14	12	92.7	96.5	17871	48849177775
NA19019	P10	7	D	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAK14605 PAM93178	29,6	11.38		X	NA19019	/groups/bi-marvl/samples/alignments/T2T/NA19019/alignments/NA19019.cram	/groups/bi-marvl/samples/alignments/T2T/NA19019/alignments/NA19019.cram.crai	9.03	9	39	92.5	96.4	10975	30569441502	NA19019	/groups/bi-marvl/samples/alignments/GRCh38/NA19019/alignments/NA19019.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19019/alignments/NA19019.cram.crai	9.14	9	14	92.1	96.3	10915	30719395686
NA19022	P10	7	E	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAK14630	28,1	7.489			NA19022	/groups/bi-marvl/samples/alignments/T2T/NA19022/alignments/NA19022.cram	/groups/bi-marvl/samples/alignments/T2T/NA19022/alignments/NA19022.cram.crai	8.48	8	42	93.8	96.6	7297	28164886606	NA19022	/groups/bi-marvl/samples/alignments/GRCh38/NA19022/alignments/NA19022.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19022/alignments/NA19022.cram.crai	8.56	8	13	93.3	96.5	7268	28247397283
NA19024	P10	7	F	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAK14625 PAM92019	40,6	9.838		X	NA19024	/groups/bi-marvl/samples/alignments/T2T/NA19024/alignments/NA19024.cram	/groups/bi-marvl/samples/alignments/T2T/NA19024/alignments/NA19024.cram.crai	12.42	12	43	93.9	96.8	9598	41188832666	NA19024	/groups/bi-marvl/samples/alignments/GRCh38/NA19024/alignments/NA19024.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19024/alignments/NA19024.cram.crai	12.52	12	12	93.4	96.7	9558	41301998823
NA19027	P10	7	G	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Male		proband	PAK14603	9,5	10.832		X	NA19027	/groups/bi-marvl/samples/alignments/T2T/NA19027/alignments/NA19027.cram	/groups/bi-marvl/samples/alignments/T2T/NA19027/alignments/NA19027.cram.crai	2.87	3	1	93.2	96.3	10707	9394112310	NA19027	/groups/bi-marvl/samples/alignments/GRCh38/NA19027/alignments/NA19027.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19027/alignments/NA19027.cram.crai	2.89	3	1	92.6	96.1	10642	9437578103
NA19028	P10	7	H	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Male		proband	PAK11825 PAM93709	36,8	15.195		X	NA19028	/groups/bi-marvl/samples/alignments/T2T/NA19028/alignments/NA19028.cram	/groups/bi-marvl/samples/alignments/T2T/NA19028/alignments/NA19028.cram.crai	11.35	11	1	93.7	96.7	15003	37393441582	NA19028	/groups/bi-marvl/samples/alignments/GRCh38/NA19028/alignments/NA19028.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19028/alignments/NA19028.cram.crai	11.44	11	1	93.1	96.6	14934	37568230451
NA19031	P10	8	A	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Male		proband	PAM61662 PAM68006	40,3	9.306		X	NA19031	/groups/bi-marvl/samples/alignments/T2T/NA19031/alignments/NA19031.cram	/groups/bi-marvl/samples/alignments/T2T/NA19031/alignments/NA19031.cram.crai	12.45	12	1	91.7	95.1	8887	42305142438	NA19031	/groups/bi-marvl/samples/alignments/GRCh38/NA19031/alignments/NA19031.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19031/alignments/NA19031.cram.crai	12.54	12	1	91.3	94.9	8850	42405901815
NA19037	P10	8	B	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAM61502 PAM67893	40,3	14.312		X	NA19037	/groups/bi-marvl/samples/alignments/T2T/NA19037/alignments/NA19037.cram	/groups/bi-marvl/samples/alignments/T2T/NA19037/alignments/NA19037.cram.crai	12.39	12	45	93.6	96	14055	40908558825	NA19037	/groups/bi-marvl/samples/alignments/GRCh38/NA19037/alignments/NA19037.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19037/alignments/NA19037.cram.crai	12.65	12	13	93	95.8	13894	41475397190
NA19043	P10	8	C	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Male		proband	PAM61577 PAM68081	42,7	14.773		X	NA19043	/groups/bi-marvl/samples/alignments/T2T/NA19043/alignments/NA19043.cram	/groups/bi-marvl/samples/alignments/T2T/NA19043/alignments/NA19043.cram.crai	13.28	13	1	93.8	96.3	14552	43488590206	NA19043	/groups/bi-marvl/samples/alignments/GRCh38/NA19043/alignments/NA19043.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19043/alignments/NA19043.cram.crai	13.42	13	1	93.2	96.1	14467	43754110059
NA19055	P10	8	D	JPT	JPT	Japanese in Tokyo, Japan [JPT]	Male		proband	PAM59895	30,0	29.707		X	NA19055	/groups/bi-marvl/samples/alignments/T2T/NA19055/alignments/NA19055.cram	/groups/bi-marvl/samples/alignments/T2T/NA19055/alignments/NA19055.cram.crai	8.92	9	1	88.1	90.4	30313	29346982643	NA19055	/groups/bi-marvl/samples/alignments/GRCh38/NA19055/alignments/NA19055.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19055/alignments/NA19055.cram.crai	9.01	9	1	87.5	90.1	30149	29535372496
NA19059	P10	8	E	JPT	JPT	Japanese in Tokyo, Japan [JPT]	Female		proband	PAM59793	43,9	7.128		X	NA19059	/groups/bi-marvl/samples/alignments/T2T/NA19059/alignments/NA19059.cram	/groups/bi-marvl/samples/alignments/T2T/NA19059/alignments/NA19059.cram.crai	13.55	14	43	92.2	95.1	6788	46079469980	NA19059	/groups/bi-marvl/samples/alignments/GRCh38/NA19059/alignments/NA19059.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19059/alignments/NA19059.cram.crai	13.68	13	15	91.8	95	6767	46202314618
NA19068	P10	8	F	JPT	JPT	Japanese in Tokyo, Japan [JPT]	Male		proband	PAM61485	34,3	16.79		X	NA19068	/groups/bi-marvl/samples/alignments/T2T/NA19068/alignments/NA19068.cram	/groups/bi-marvl/samples/alignments/T2T/NA19068/alignments/NA19068.cram.crai	10.42	10	1	90.1	92.7	16760	33843840274	NA19068	/groups/bi-marvl/samples/alignments/GRCh38/NA19068/alignments/NA19068.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19068/alignments/NA19068.cram.crai	10.51	10	1	89.5	92.4	16690	33999344301
NA19070	P10	8	G	JPT	JPT	Japanese in Tokyo, Japan [JPT]	Male		proband	PAM59791	14,8	8.911		X	NA19070	/groups/bi-marvl/samples/alignments/T2T/NA19070/alignments/NA19070.cram	/groups/bi-marvl/samples/alignments/T2T/NA19070/alignments/NA19070.cram.crai	4.55	4	1	92.7	95.4	8599	15208111315	NA19070	/groups/bi-marvl/samples/alignments/GRCh38/NA19070/alignments/NA19070.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19070/alignments/NA19070.cram.crai	4.6	4	1	92.3	95.2	8559	15252676638
NA19080	P10	8	H	JPT	JPT	Japanese in Tokyo, Japan [JPT]	Female		proband	PAM61640	47,9	8.228		X	NA19080	/groups/bi-marvl/samples/alignments/T2T/NA19080/alignments/NA19080.cram	/groups/bi-marvl/samples/alignments/T2T/NA19080/alignments/NA19080.cram.crai	14.76	15	46	92.3	94.7	8001	49198260229	NA19080	/groups/bi-marvl/samples/alignments/GRCh38/NA19080/alignments/NA19080.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19080/alignments/NA19080.cram.crai	14.86	15	15	92	94.6	7984	49272713563
NA19086	P10	9	A	JPT	JPT	Japanese in Tokyo, Japan [JPT]	Male		proband	PAK18029 PAM81905	37,0	18.634		X	NA19086	/groups/bi-marvl/samples/alignments/T2T/NA19086/alignments/NA19086.cram	/groups/bi-marvl/samples/alignments/T2T/NA19086/alignments/NA19086.cram.crai	11.33	11	1	91.7	95	18452	37518633281	NA19086	/groups/bi-marvl/samples/alignments/GRCh38/NA19086/alignments/NA19086.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19086/alignments/NA19086.cram.crai	11.44	11	1	91.1	94.8	18393	37682592353
NA19096	P10	9	B	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Male	Y041	father	PAK17859	34,2	19.708		X	NA19096	/groups/bi-marvl/samples/alignments/T2T/NA19096/alignments/NA19096.cram	/groups/bi-marvl/samples/alignments/T2T/NA19096/alignments/NA19096.cram.crai	10.6	10	1	93.1	95.4	19753	34432083557	NA19096	/groups/bi-marvl/samples/alignments/GRCh38/NA19096/alignments/NA19096.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19096/alignments/NA19096.cram.crai	10.68	10	1	92.4	95.3	19721	34535990387
NA19101	P10	9	C	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Male	Y042	father	PAK15555	35,9	28.835		X	NA19101	/groups/bi-marvl/samples/alignments/T2T/NA19101/alignments/NA19101.cram	/groups/bi-marvl/samples/alignments/T2T/NA19101/alignments/NA19101.cram.crai	11	11	1	90	92.7	28691	35741722906	NA19101	/groups/bi-marvl/samples/alignments/GRCh38/NA19101/alignments/NA19101.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19101/alignments/NA19101.cram.crai	11.09	11	1	89.1	92.3	28491	35988631951
NA19113	P10	9	D	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Male	Y079	father	PAK15676 PAM67674	39,3	21.315		X	NA19113	/groups/bi-marvl/samples/alignments/T2T/NA19113/alignments/NA19113.cram	/groups/bi-marvl/samples/alignments/T2T/NA19113/alignments/NA19113.cram.crai	12.17	12	1	93.3	96.1	20644	40357070413	NA19113	/groups/bi-marvl/samples/alignments/GRCh38/NA19113/alignments/NA19113.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19113/alignments/NA19113.cram.crai	12.29	12	1	92.6	95.9	20583	40554622429
NA19114	P10	9	E	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Female	Y079	mother	PAM59737 PAM68016	40,3	10.388		X	NA19114	/groups/bi-marvl/samples/alignments/T2T/NA19114/alignments/NA19114.cram	/groups/bi-marvl/samples/alignments/T2T/NA19114/alignments/NA19114.cram.crai	12.5	12	44	93.9	96.1	10264	40745327352	NA19114	/groups/bi-marvl/samples/alignments/GRCh38/NA19114/alignments/NA19114.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19114/alignments/NA19114.cram.crai	12.64	12	12	93.2	96	10216	40919235499
NA19118	P10	9	F	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Female	Y100	mother	PAK16341	38,0	16.697		X	NA19118	/groups/bi-marvl/samples/alignments/T2T/NA19118/alignments/NA19118.cram	/groups/bi-marvl/samples/alignments/T2T/NA19118/alignments/NA19118.cram.crai	11.8	12	45	93.9	95.9	16500	38310564503	NA19118	/groups/bi-marvl/samples/alignments/GRCh38/NA19118/alignments/NA19118.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19118/alignments/NA19118.cram.crai	11.92	12	12	93.2	95.8	16394	38562293770
NA19119	P10	9	G	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Male	Y060	father	PAM59699	35,1	10.151		X	NA19119	/groups/bi-marvl/samples/alignments/T2T/NA19119/alignments/NA19119.cram	/groups/bi-marvl/samples/alignments/T2T/NA19119/alignments/NA19119.cram.crai	10.79	11	1	92.4	95	9909	35628773489	NA19119	/groups/bi-marvl/samples/alignments/GRCh38/NA19119/alignments/NA19119.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19119/alignments/NA19119.cram.crai	10.9	11	1	91.8	94.9	9843	35781816494
NA19122	P10	9	H	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Female	Y061	mother	PAM50443 PAM81873	24,4	10.441		X	NA19122	/groups/bi-marvl/samples/alignments/T2T/NA19122/alignments/NA19122.cram	/groups/bi-marvl/samples/alignments/T2T/NA19122/alignments/NA19122.cram.crai	7.56	7	40	91.1	93.7	10258	24779164761	NA19122	/groups/bi-marvl/samples/alignments/GRCh38/NA19122/alignments/NA19122.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19122/alignments/NA19122.cram.crai	7.62	7	14	90.7	93.6	10218	24841819857
NA19127	P10	10	A	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Female	Y077	mother	PAK01527	41,1	23.232		X	NA19127	/groups/bi-marvl/samples/alignments/T2T/NA19127/alignments/NA19127.cram	/groups/bi-marvl/samples/alignments/T2T/NA19127/alignments/NA19127.cram.crai	12.77	13	42	91.3	94.3	22925	41914868282	NA19127	/groups/bi-marvl/samples/alignments/GRCh38/NA19127/alignments/NA19127.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19127/alignments/NA19127.cram.crai	12.89	13	12	90.6	94	22872	42089068144
NA19128	P10	10	B	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Male	Y077	father	PAK01283	32,7	19.594		X	NA19128	/groups/bi-marvl/samples/alignments/T2T/NA19128/alignments/NA19128.cram	/groups/bi-marvl/samples/alignments/T2T/NA19128/alignments/NA19128.cram.crai	10.26	10	1	92.2	95.1	19302	33631007334	NA19128	/groups/bi-marvl/samples/alignments/GRCh38/NA19128/alignments/NA19128.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19128/alignments/NA19128.cram.crai	10.34	10	1	91.4	94.9	19237	33795456397
NA19129	P10	10	C	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Female	Y077	child	PAK01772 PAM47494	70,1	16.465		X	NA19129	/groups/bi-marvl/samples/alignments/T2T/NA19129/alignments/NA19129.cram	/groups/bi-marvl/samples/alignments/T2T/NA19129/alignments/NA19129.cram.crai	21.69	22	42	93.5	96.4	16212	72314133899	NA19129	/groups/bi-marvl/samples/alignments/GRCh38/NA19129/alignments/NA19129.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19129/alignments/NA19129.cram.crai	21.91	22	12	93	96.3	16165	72649049687
NA19137	P10	10	D	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Female	Y043	mother	PAI99187	33,6	17.737		X	NA19137	/groups/bi-marvl/samples/alignments/T2T/NA19137/alignments/NA19137.cram	/groups/bi-marvl/samples/alignments/T2T/NA19137/alignments/NA19137.cram.crai	10.45	10	42	93.5	96.5	17586	34768803684	NA19137	/groups/bi-marvl/samples/alignments/GRCh38/NA19137/alignments/NA19137.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19137/alignments/NA19137.cram.crai	10.55	10	11	92.6	96.4	17545	34878909822
NA19144	P10	10	E	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Male	Y074	father	PAI99201	50,3	32.903		X	NA19144	/groups/bi-marvl/samples/alignments/T2T/NA19144/alignments/NA19144.cram	/groups/bi-marvl/samples/alignments/T2T/NA19144/alignments/NA19144.cram.crai	15.85	16	1	93.2	96.2	32579	51420862501	NA19144	/groups/bi-marvl/samples/alignments/GRCh38/NA19144/alignments/NA19144.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19144/alignments/NA19144.cram.crai	15.99	16	1	91.8	95.9	32406	51788917875
NA19146	P10	10	F	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Male	Y075	father	PAK01960 PAM67540	38,5	29.07		X	NA19146	/groups/bi-marvl/samples/alignments/T2T/NA19146/alignments/NA19146.cram	/groups/bi-marvl/samples/alignments/T2T/NA19146/alignments/NA19146.cram.crai	12.06	12	1	94.2	96.8	28654	39351657990	NA19146	/groups/bi-marvl/samples/alignments/GRCh38/NA19146/alignments/NA19146.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19146/alignments/NA19146.cram.crai	12.16	12	1	93.3	96.6	28558	39545926626
NA19147	P10	10	G	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Female	Y075	mother	PAK01236 PAM93084	49,4	10.012		X	NA19147	/groups/bi-marvl/samples/alignments/T2T/NA19147/alignments/NA19147.cram	/groups/bi-marvl/samples/alignments/T2T/NA19147/alignments/NA19147.cram.crai	14.91	15	43	94.4	97.1	9899	49851438091	NA19147	/groups/bi-marvl/samples/alignments/GRCh38/NA19147/alignments/NA19147.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19147/alignments/NA19147.cram.crai	15.04	15	13	93.7	97	9842	50153676824
NA19153	P10	10	H	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Male	Y072	father	PAK01725	33,6	18.02		X	NA19153	/groups/bi-marvl/samples/alignments/T2T/NA19153/alignments/NA19153.cram	/groups/bi-marvl/samples/alignments/T2T/NA19153/alignments/NA19153.cram.crai	10.46	10	1	93.2	96.1	17787	34286120276	NA19153	/groups/bi-marvl/samples/alignments/GRCh38/NA19153/alignments/NA19153.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19153/alignments/NA19153.cram.crai	10.57	10	1	92.5	96	17743	34450779302
NA19189	P10	11	A	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Male	Y111	father	PAK14358	42,7	13.101		X	NA19189	/groups/bi-marvl/samples/alignments/T2T/NA19189/alignments/NA19189.cram	/groups/bi-marvl/samples/alignments/T2T/NA19189/alignments/NA19189.cram.crai	13.2	13	1	92.5	96.3	12639	44926428315	NA19189	/groups/bi-marvl/samples/alignments/GRCh38/NA19189/alignments/NA19189.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19189/alignments/NA19189.cram.crai	13.34	13	1	91.8	96.1	12600	45079853966
NA19193	P10	11	B	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Female	Y112	mother	PAK26663 PAM78852	41,4	13.697			NA19193	/groups/bi-marvl/samples/alignments/T2T/NA19193/alignments/NA19193.cram	/groups/bi-marvl/samples/alignments/T2T/NA19193/alignments/NA19193.cram.crai	12.89	13	39	92.4	96.1	13222	43304358586	NA19193	/groups/bi-marvl/samples/alignments/GRCh38/NA19193/alignments/NA19193.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19193/alignments/NA19193.cram.crai	13.02	13	14	91.8	95.9	13186	43444989577
NA19197	P10	11	C	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Female	Y035	mother	PAK26439	33,5	14.414		X	NA19197	/groups/bi-marvl/samples/alignments/T2T/NA19197/alignments/NA19197.cram	/groups/bi-marvl/samples/alignments/T2T/NA19197/alignments/NA19197.cram.crai	10.41	10	38	92.5	96.3	13857	35173339203	NA19197	/groups/bi-marvl/samples/alignments/GRCh38/NA19197/alignments/NA19197.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19197/alignments/NA19197.cram.crai	10.52	10	12	91.9	96.2	13818	35276615317
NA19207	P10	11	D	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Male	Y051	father	PAK26513	29,1	18.914		X	NA19207	/groups/bi-marvl/samples/alignments/T2T/NA19207/alignments/NA19207.cram	/groups/bi-marvl/samples/alignments/T2T/NA19207/alignments/NA19207.cram.crai	9.07	9	1	92	96	18265	30792493899	NA19207	/groups/bi-marvl/samples/alignments/GRCh38/NA19207/alignments/NA19207.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19207/alignments/NA19207.cram.crai	9.16	9	1	91.1	95.7	18236	30876085727
NA19238	P10	11	E	YRI	YRI	Yoruba in Ibadan, Nigeria [YRI]	Female	Y117	mother	PAK15020	58,7	10.182		X	NA19238	/groups/bi-marvl/samples/alignments/T2T/NA19238/alignments/NA19238.cram	/groups/bi-marvl/samples/alignments/T2T/NA19238/alignments/NA19238.cram.crai	17.9	18	36	92.1	96.1	9647	62114946584	NA19238	/groups/bi-marvl/samples/alignments/GRCh38/NA19238/alignments/NA19238.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19238/alignments/NA19238.cram.crai	18.06	17	13	91.6	95.9	9627	62244547915
NA19307	P10	11	F	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Male		proband	PAK14980 PAM81896	23,8	20.136		X	NA19307	/groups/bi-marvl/samples/alignments/T2T/NA19307/alignments/NA19307.cram	/groups/bi-marvl/samples/alignments/T2T/NA19307/alignments/NA19307.cram.crai	7.35	7	1	91.9	96	19413	24791752779	NA19307	/groups/bi-marvl/samples/alignments/GRCh38/NA19307/alignments/NA19307.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19307/alignments/NA19307.cram.crai	7.44	7	1	90.9	95.8	19342	24978231608
NA19310	P10	11	G	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAK15006 PAM68015	35,5	22.872		X	NA19310	/groups/bi-marvl/samples/alignments/T2T/NA19310/alignments/NA19310.cram	/groups/bi-marvl/samples/alignments/T2T/NA19310/alignments/NA19310.cram.crai	11.04	11	41	93.5	97	22335	36542666547	NA19310	/groups/bi-marvl/samples/alignments/GRCh38/NA19310/alignments/NA19310.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19310/alignments/NA19310.cram.crai	11.15	11	12	92.8	96.9	22288	36738851011
NA19315	P10	11	H	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAK14985 PAM81731	53,6	10.972		X	NA19315	/groups/bi-marvl/samples/alignments/T2T/NA19315/alignments/NA19315.cram	/groups/bi-marvl/samples/alignments/T2T/NA19315/alignments/NA19315.cram.crai	16.74	17	39	93.4	96.9	10584	56893250068	NA19315	/groups/bi-marvl/samples/alignments/GRCh38/NA19315/alignments/NA19315.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19315/alignments/NA19315.cram.crai	16.87	17	13	92.8	96.8	10554	57017236450
NA19319	P10	12	A	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Male		proband	PAI99430	30,1	33.647		X	NA19319	/groups/bi-marvl/samples/alignments/T2T/NA19319/alignments/NA19319.cram	/groups/bi-marvl/samples/alignments/T2T/NA19319/alignments/NA19319.cram.crai	9.46	9	1	92.9	96.1	33199	30885454419	NA19319	/groups/bi-marvl/samples/alignments/GRCh38/NA19319/alignments/NA19319.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19319/alignments/NA19319.cram.crai	9.55	9	1	91.9	95.9	33014	31115175553
NA19327	P10	12	B	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAI99443	51,1	11.382		X	NA19327	/groups/bi-marvl/samples/alignments/T2T/NA19327/alignments/NA19327.cram	/groups/bi-marvl/samples/alignments/T2T/NA19327/alignments/NA19327.cram.crai	15.9	16	42	93.5	96.5	11160	52700697273	NA19327	/groups/bi-marvl/samples/alignments/GRCh38/NA19327/alignments/NA19327.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19327/alignments/NA19327.cram.crai	16.06	16	12	93.1	96.4	11128	52952425860
NA19328	P10	12	C	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAI99503	35,4	34.112		X	NA19328	/groups/bi-marvl/samples/alignments/T2T/NA19328/alignments/NA19328.cram	/groups/bi-marvl/samples/alignments/T2T/NA19328/alignments/NA19328.cram.crai	11.03	11	41	93.5	96.5	33951	35937841723	NA19328	/groups/bi-marvl/samples/alignments/GRCh38/NA19328/alignments/NA19328.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19328/alignments/NA19328.cram.crai	11.12	11	11	92.5	96.3	33809	36153713985
NA19331	P10	12	D	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Male		proband	PAK01876 PAM48111	45,2	21.521		X	NA19331	/groups/bi-marvl/samples/alignments/T2T/NA19331/alignments/NA19331.cram	/groups/bi-marvl/samples/alignments/T2T/NA19331/alignments/NA19331.cram.crai	14.08	14	0	93.5	96.3	21474	45692146210	NA19331	/groups/bi-marvl/samples/alignments/GRCh38/NA19331/alignments/NA19331.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19331/alignments/NA19331.cram.crai	14.22	14	0	92.7	96.1	21402	45946877610
NA19338	P10	12	E	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAK01887	29,5	27.614		X	NA19338	/groups/bi-marvl/samples/alignments/T2T/NA19338/alignments/NA19338.cram	/groups/bi-marvl/samples/alignments/T2T/NA19338/alignments/NA19338.cram.crai	9.16	9	42	91.6	94.3	27553	29600854303	NA19338	/groups/bi-marvl/samples/alignments/GRCh38/NA19338/alignments/NA19338.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19338/alignments/NA19338.cram.crai	9.25	9	11	90.7	94.1	27450	29757173660
NA19347	P10	12	F	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Male		proband	PAK01824 PAM47412	50,4	21.648		X	NA19347	/groups/bi-marvl/samples/alignments/T2T/NA19347/alignments/NA19347.cram	/groups/bi-marvl/samples/alignments/T2T/NA19347/alignments/NA19347.cram.crai	15.68	16	1	92.5	95	21685	50628810291	NA19347	/groups/bi-marvl/samples/alignments/GRCh38/NA19347/alignments/NA19347.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19347/alignments/NA19347.cram.crai	15.81	15	1	91.8	94.8	21579	50936306605
NA19350	P10	12	G	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Male		proband	PAK01552	32,7	18.828		X	NA19350	/groups/bi-marvl/samples/alignments/T2T/NA19350/alignments/NA19350.cram	/groups/bi-marvl/samples/alignments/T2T/NA19350/alignments/NA19350.cram.crai	10.16	10	1	92.9	96.1	18442	33651650943	NA19350	/groups/bi-marvl/samples/alignments/GRCh38/NA19350/alignments/NA19350.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19350/alignments/NA19350.cram.crai	10.25	10	1	92.2	95.9	18405	33774935184
NA19351	P10	12	H	LWK	LWK	Luhya in Webuye, Kenya [LWK]	Female		proband	PAK01746	30,7	12.72		X	NA19351	/groups/bi-marvl/samples/alignments/T2T/NA19351/alignments/NA19351.cram	/groups/bi-marvl/samples/alignments/T2T/NA19351/alignments/NA19351.cram.crai	9.52	9	43	92.1	95.4	12339	32021236443	NA19351	/groups/bi-marvl/samples/alignments/GRCh38/NA19351/alignments/NA19351.cram	/groups/bi-marvl/samples/alignments/GRCh38/NA19351/alignments/NA19351.cram.crai	9.59	9	13	91.7	95.3	12310	32090777658
